fecha,valor
01-01-24,995.00
02-01-24,991.30
03-01-24,1033.56
04-01-24,1050.43
05-01-24,1104.93
06-01-24,1104.93
07-01-24,1104.93
08-01-24,1141.62
09-01-24,1160.38
10-01-24,1142.45
11-01-24,1119.17
12-01-24,1096.39
13-01-24,1096.39
14-01-24,1096.39
15-01-24,1125.30
16-01-24,1163.48
17-01-24,1221.49
18-01-24,1227.54
19-01-24,1251.67
20-01-24,1251.67
21-01-24,1251.67
22-01-24,1241.41
23-01-24,1233.22
24-01-24,1232.72
25-01-24,1229.32
26-01-24,1188.48
27-01-24,1188.48
28-01-24,1188.48
29-01-24,1219.88
30-01-24,1208.21
31-01-24,1175.67
01-02-24,1235.43
02-02-24,1237.43
03-02-24,1237.43
04-02-24,1237.43
05-02-24,1209.52
06-02-24,1194.74
07-02-24,1199.41
08-02-24,1183.55
09-02-24,1173.36
10-02-24,1173.36
11-02-24,1173.36
12-02-24,1173.36
13-02-24,1173.36
14-02-24,1124.14
15-02-24,1086.86
16-02-24,1064.71
17-02-24,1064.71
18-02-24,1064.71
19-02-24,1108.61
20-02-24,1080.31
21-02-24,1072.51
22-02-24,1054.78
23-02-24,1076.60
24-02-24,1076.60
25-02-24,1076.60
26-02-24,1051.04
27-02-24,1044.95
28-02-24,1031.25
29-02-24,1032.24
01-03-24,1053.46
02-03-24,1053.46
03-03-24,1053.46
04-03-24,1029.54
05-03-24,1016.08
06-03-24,981.21
07-03-24,996.63
08-03-24,1000.47
09-03-24,1000.47
10-03-24,1000.47
11-03-24,980.98
12-03-24,1036.19
13-03-24,1012.01
14-03-24,1015.67
15-03-24,1027.63
16-03-24,1027.63
17-03-24,1027.63
18-03-24,1023.89
19-03-24,1032.36
20-03-24,1042.43
21-03-24,1036.25
22-03-24,1036.16
23-03-24,1036.16
24-03-24,1036.16
25-03-24,1012.94
26-03-24,1027.09
27-03-24,1016.09
28-03-24,1016.09
29-03-24,1016.09
30-03-24,1016.09
31-03-24,1016.09
01-04-24,1016.09
02-04-24,1016.09
03-04-24,991.25
04-04-24,996.25
05-04-24,1000.88
06-04-24,1000.88
07-04-24,1000.88
08-04-24,985.86
09-04-24,1000.69
10-04-24,999.64
11-04-24,994.86
12-04-24,1005.46
13-04-24,1005.46
14-04-24,1005.46
15-04-24,1021.55
16-04-24,1031.63
17-04-24,1021.16
18-04-24,1021.92
19-04-24,1026.65
20-04-24,1026.65
21-04-24,1026.65
22-04-24,1014.98
23-04-24,1006.71
24-04-24,1015.54
25-04-24,1034.06
26-04-24,1034.04
27-04-24,1034.04
28-04-24,1034.04
29-04-24,1037.77
30-04-24,1040.89
01-05-24,1040.89
02-05-24,1064.56
03-05-24,1072.64
04-05-24,1072.64
05-05-24,1072.64
06-05-24,1064.47
07-05-24,1048.49
08-05-24,1038.77
09-05-24,1046.02
10-05-24,1035.73
11-05-24,1035.73
12-05-24,1035.73
13-05-24,1034.89
14-05-24,1041.65
15-05-24,1050.33
16-05-24,1062.25
17-05-24,1071.12
18-05-24,1071.12
19-05-24,1071.12
20-05-24,1106.22
21-05-24,1170.28
22-05-24,1230.60
23-05-24,1234.40
24-05-24,1205.73
25-05-24,1205.73
26-05-24,1205.73
27-05-24,1228.18
28-05-24,1200.90
29-05-24,1177.14
30-05-24,1182.71
31-05-24,1215.93
01-06-24,1215.93
02-06-24,1215.93
03-06-24,1269.91
04-06-24,1280.80
05-06-24,1283.09
06-06-24,1272.01
07-06-24,1282.33
08-06-24,1282.33
09-06-24,1282.33
10-06-24,1272.63
11-06-24,1273.90
12-06-24,1278.94
13-06-24,1241.10
14-06-24,1244.64
15-06-24,1244.64
16-06-24,1244.64
17-06-24,1244.64
18-06-24,1245.49
19-06-24,1273.81
20-06-24,1273.81
21-06-24,1273.81
22-06-24,1273.81
23-06-24,1273.81
24-06-24,1295.22
25-06-24,1308.99
26-06-24,1332.13
27-06-24,1331.96
28-06-24,1347.96
29-06-24,1347.96
30-06-24,1347.96
01-07-24,1413.01
02-07-24,1428.46
03-07-24,1382.50
04-07-24,1395.68
05-07-24,1396.24
06-07-24,1396.24
07-07-24,1396.24
08-07-24,1386.86
09-07-24,1386.86
10-07-24,1377.39
11-07-24,1403.33
12-07-24,1416.22
13-07-24,1416.22
14-07-24,1416.22
15-07-24,1307.54
16-07-24,1278.94
17-07-24,1300.00
18-07-24,1315.29
19-07-24,1331.70
20-07-24,1331.70
21-07-24,1331.70
22-07-24,1333.37
23-07-24,1324.96
24-07-24,1337.51
25-07-24,1332.77
26-07-24,1323.15
27-07-24,1323.15
28-07-24,1323.15
29-07-24,1296.57
30-07-24,1267.95
31-07-24,1293.33
01-08-24,1300.14
02-08-24,1334.04
03-08-24,1334.04
04-08-24,1334.04
05-08-24,1346.09
06-08-24,1336.40
07-08-24,1331.95
08-08-24,1310.45
09-08-24,1298.27
10-08-24,1298.27
11-08-24,1298.27
12-08-24,1284.35
13-08-24,1272.49
14-08-24,1268.81
15-08-24,1276.21
16-08-24,1295.30
17-08-24,1295.30
18-08-24,1295.30
19-08-24,1290.10
20-08-24,1287.82
21-08-24,1291.75
22-08-24,1283.23
23-08-24,1282.70
24-08-24,1282.70
25-08-24,1282.70
26-08-24,1288.25
27-08-24,1286.19
28-08-24,1282.19
29-08-24,1271.33
30-08-24,1279.96
31-08-24,1279.96
01-09-24,1279.96
02-09-24,1285.01
03-09-24,1294.46
04-09-24,1279.84
05-09-24,1258.82
06-09-24,1243.87
07-09-24,1243.87
08-09-24,1243.87
09-09-24,1226.42
10-09-24,1230.44
11-09-24,1230.16
12-09-24,1239.48
13-09-24,1226.53
14-09-24,1226.53
15-09-24,1226.53
16-09-24,1215.72
17-09-24,1214.04
18-09-24,1206.72
19-09-24,1197.74
20-09-24,1200.10
21-09-24,1200.10
22-09-24,1200.10
23-09-24,1204.57
24-09-24,1202.13
25-09-24,1209.79
26-09-24,1210.95
27-09-24,1207.75
28-09-24,1207.75
29-09-24,1207.75
30-09-24,1215.03
01-10-24,1220.07
02-10-24,1207.51
03-10-24,1191.74
04-10-24,1187.52
05-10-24,1187.52
06-10-24,1187.52
07-10-24,1184.07
08-10-24,1169.54
09-10-24,1147.40
10-10-24,1134.84
