fecha,valor
01-01-24,463.40
02-01-24,463.40
03-01-24,470.66
04-01-24,472.49
05-01-24,474.33
06-01-24,476.18
07-01-24,476.18
08-01-24,476.18
09-01-24,481.76
10-01-24,483.64
11-01-24,485.52
12-01-24,487.41
13-01-24,489.31
14-01-24,489.31
15-01-24,489.31
16-01-24,495.04
17-01-24,498.68
18-01-24,502.35
19-01-24,506.05
20-01-24,509.77
21-01-24,509.77
22-01-24,509.77
23-01-24,521.10
24-01-24,524.93
25-01-24,528.79
26-01-24,532.68
27-01-24,536.59
28-01-24,536.59
29-01-24,536.59
30-01-24,548.52
31-01-24,552.55
01-02-24,556.62
02-02-24,560.71
03-02-24,564.83
04-02-24,564.83
05-02-24,564.83
06-02-24,577.39
07-02-24,581.63
08-02-24,585.91
09-02-24,590.22
10-02-24,594.56
11-02-24,594.56
12-02-24,594.56
13-02-24,594.56
14-02-24,594.56
15-02-24,616.74
16-02-24,621.28
17-02-24,625.31
18-02-24,625.31
19-02-24,625.31
20-02-24,637.54
21-02-24,641.67
22-02-24,645.83
23-02-24,650.01
24-02-24,654.23
25-02-24,654.23
26-02-24,654.23
27-02-24,667.03
28-02-24,671.35
01-03-24,680.08
02-03-24,684.48
03-03-24,684.48
04-03-24,684.48
05-03-24,697.88
06-03-24,702.40
07-03-24,706.95
08-03-24,711.53
09-03-24,716.14
10-03-24,716.14
11-03-24,716.14
12-03-24,730.15
13-03-24,734.88
14-03-24,739.65
15-03-24,744.44
16-03-24,749.26
17-03-24,749.26
18-03-24,749.26
19-03-24,758.31
20-03-24,761.35
21-03-24,764.40
22-03-24,767.46
23-03-24,770.54
24-03-24,770.54
25-03-24,770.54
26-03-24,779.84
27-03-24,782.96
28-03-24,786.10
29-03-24,786.10
30-03-24,786.10
31-03-24,786.10
01-04-24,786.10
02-04-24,786.10
03-04-24,786.10
04-04-24,808.42
05-04-24,811.66
06-04-24,814.91
07-04-24,814.91
08-04-24,814.91
09-04-24,824.75
10-04-24,828.05
11-04-24,831.37
12-04-24,834.70
13-04-24,838.05
14-04-24,838.05
15-04-24,838.05
16-04-24,848.17
17-04-24,851.12
18-04-24,854.09
19-04-24,857.06
20-04-24,860.05
21-04-24,860.05
22-04-24,860.05
23-04-24,869.07
24-04-24,872.10
25-04-24,875.14
26-04-24,878.19
27-04-24,881.25
28-04-24,881.25
29-04-24,881.25
30-04-24,890.49
01-05-24,893.60
02-05-24,893.60
03-05-24,899.84
04-05-24,902.97
05-05-24,902.97
06-05-24,902.97
07-05-24,912.45
08-05-24,915.62
09-05-24,918.82
10-05-24,922.02
11-05-24,925.23
12-05-24,925.23
13-05-24,925.23
14-05-24,934.94
15-05-24,938.19
16-05-24,941.46
17-05-24,944.03
18-05-24,946.60
19-05-24,946.60
20-05-24,946.60
21-05-24,954.36
22-05-24,956.96
23-05-24,959.57
24-05-24,962.18
25-05-24,964.80
26-05-24,964.80
27-05-24,964.80
28-05-24,972.71
29-05-24,975.36
30-05-24,978.02
31-05-24,980.68
01-06-24,983.35
02-06-24,983.35
03-06-24,983.35
04-06-24,991.41
05-06-24,994.11
06-06-24,996.82
07-06-24,999.54
08-06-24,1002.26
09-06-24,1002.26
10-06-24,1002.26
11-06-24,1010.47
12-06-24,1013.23
13-06-24,1015.99
14-06-24,1018.75
15-06-24,1021.53
16-06-24,1021.53
17-06-24,1021.53
18-06-24,1021.53
19-06-24,1028.54
20-06-24,1029.95
21-06-24,1029.95
22-06-24,1029.95
23-06-24,1029.95
24-06-24,1029.95
25-06-24,1037.03
26-06-24,1038.46
27-06-24,1039.88
28-06-24,1041.31
29-06-24,1042.74
30-06-24,1042.74
01-07-24,1042.74
02-07-24,1047.04
03-07-24,1048.47
04-07-24,1049.91
05-07-24,1051.35
06-07-24,1052.80
07-07-24,1052.80
08-07-24,1052.80
09-07-24,1057.14
10-07-24,1057.14
11-07-24,1060.04
12-07-24,1061.50
13-07-24,1062.95
14-07-24,1062.95
15-07-24,1062.95
16-07-24,1067.33
17-07-24,1068.88
18-07-24,1070.44
19-07-24,1071.99
20-07-24,1073.55
21-07-24,1073.55
22-07-24,1073.55
23-07-24,1078.23
24-07-24,1079.79
25-07-24,1081.36
26-07-24,1082.93
27-07-24,1084.50
28-07-24,1084.50
29-07-24,1084.50
30-07-24,1089.23
31-07-24,1090.82
01-08-24,1092.40
02-08-24,1093.98
03-08-24,1095.57
04-08-24,1095.57
05-08-24,1095.57
06-08-24,1100.35
07-08-24,1101.95
08-08-24,1103.55
09-08-24,1105.15
10-08-24,1106.76
11-08-24,1106.76
12-08-24,1106.76
13-08-24,1111.58
14-08-24,1113.20
15-08-24,1114.81
16-08-24,1116.43
17-08-24,1117.84
18-08-24,1117.84
19-08-24,1117.84
20-08-24,1122.10
21-08-24,1123.52
22-08-24,1124.94
23-08-24,1126.36
24-08-24,1127.79
25-08-24,1127.79
26-08-24,1127.79
27-08-24,1132.08
28-08-24,1133.51
29-08-24,1134.95
30-08-24,1136.38
31-08-24,1137.82
01-09-24,1137.82
02-09-24,1137.82
03-09-24,1142.15
04-09-24,1143.59
05-09-24,1145.04
06-09-24,1146.49
07-09-24,1147.94
08-09-24,1147.94
09-09-24,1147.94
10-09-24,1152.31
11-09-24,1153.77
12-09-24,1155.23
13-09-24,1156.69
14-09-24,1158.15
15-09-24,1158.15
16-09-24,1158.15
17-09-24,1162.68
18-09-24,1164.28
19-09-24,1165.88
20-09-24,1167.48
21-09-24,1169.08
22-09-24,1169.08
23-09-24,1169.08
24-09-24,1173.90
25-09-24,1175.51
26-09-24,1177.12
27-09-24,1178.74
28-09-24,1180.35
29-09-24,1180.35
30-09-24,1180.35
01-10-24,1185.22
02-10-24,1186.85
03-10-24,1188.48
04-10-24,1190.11
05-10-24,1191.74
06-10-24,1191.74
07-10-24,1191.74
08-10-24,1196.65
09-10-24,1198.30
10-10-24,1199.94
11-10-24,1201.59
12-10-24,1201.59
13-10-24,1201.59
14-10-24,1201.59
15-10-24,1208.20
16-10-24,1209.85
17-10-24,1211.20
18-10-24,1212.54
19-10-24,1213.89
20-10-24,1213.89
21-10-24,1213.89
22-10-24,1217.94
23-10-24,1219.29
24-10-24,1220.64
25-10-24,1222.00
26-10-24,1223.36
27-10-24,1223.36
28-10-24,1223.36
29-10-24,1227.43
30-10-24,1228.80
31-10-24,1230.16
01-11-24,1231.53
02-11-24,1232.90
03-11-24,1232.90
04-11-24,1232.90
05-11-24,1237.01
06-11-24,1238.38
07-11-24,1238.38
08-11-24,1241.13
09-11-24,1242.51
10-11-24,1242.51
11-11-24,1242.51
12-11-24,1246.65
13-11-24,1248.04
14-11-24,1249.42
15-11-24,1250.81
16-11-24,1252.20
17-11-24,1252.20
18-11-24,1252.20
19-11-24,1252.20
20-11-24,1256.66
21-11-24,1257.77
22-11-24,1258.89
23-11-24,1260.01
24-11-24,1260.01
25-11-24,1260.01
26-11-24,1263.37
27-11-24,1264.49
28-11-24,1265.61
29-11-24,1266.74
30-11-24,1267.86
01-12-24,1267.86
02-12-24,1267.86
03-12-24,1271.25
04-12-24,1272.38
05-12-24,1273.51
06-12-24,1274.64
07-12-24,1275.77
08-12-24,1275.77
09-12-24,1275.77
10-12-24,1279.17
11-12-24,1280.31
12-12-24,1281.45
13-12-24,1282.59
14-12-24,1283.73
15-12-24,1283.73
16-12-24,1283.73
17-12-24,1286.99
18-12-24,1287.98
19-12-24,1288.96
20-12-24,1289.95
21-12-24,1290.94
22-12-24,1290.94
23-12-24,1290.94
24-12-24,1293.90
25-12-24,1294.89
26-12-24,1294.89
27-12-24,1296.88
28-12-24,1297.87
29-12-24,1297.87
30-12-24,1297.87
31-12-24,1300.85
01-01-25,1301.85
02-01-25,1301.85
03-01-25,1303.84
04-01-25,1304.84
05-01-25,1304.84
06-01-25,1304.84
07-01-25,1307.84
08-01-25,1308.84
09-01-25,1309.84
10-01-25,1310.84
11-01-25,1311.85
12-01-25,1311.85
13-01-25,1311.85
14-01-25,1314.86
15-01-25,1315.87
16-01-25,1316.87
17-01-25,1318.01
18-01-25,1319.14
19-01-25,1319.14
20-01-25,1319.14
21-01-25,1322.54
22-01-25,1323.68
23-01-25,1324.82
24-01-25,1325.96
25-01-25,1327.10
26-01-25,1327.10
27-01-25,1327.10
28-01-25,1330.52
29-01-25,1331.67
